id_Anel1,ID_Anel_Anel1,ID_Frag_1_Anel1,ID_Frag_2_Anel1,ID_Frag_3_Anel1,ID_Ponte,id_Anel2,ID_Anel_Anel2,ID_Frag_1_Anel2,ID_Frag_2_Anel2,ID_Frag_3_Anel2,smiles,lambda_max_previsto,incerteza_std
4077,21,21,24,9,8,236,2,20,20,13,CCN(CC)S1:C:C(=CC=C2:C:C(NC(C)=O):C([O][Na]):C([O][Na]):C:2):S(Br):C:C:1C(C)C,496.02514941003864,28.4630278691137
963,5,18,3,11,16,4073,21,21,17,14,CCOC(=O)C1:C:C(C):C(N):C(C=CC=CC=CS2(Br):C:C:S:C(C(=O)O):C:2C(F)(F)F):S:1,496.02107008069027,14.026535800926368
866,5,7,19,20,18,4537,23,24,5,17,COS1:C(NCC2(C(C)C)C(Cl)CCC2C(F)(F)F):C:C([O][Na]):C:C:1C(=O)[O][Na],495.9764784545552,15.854698577829316
3443,18,19,7,14,1,6826,35,8,15,20,COC1:C:N(C(=O)[O][Na]):C(N=NC2CN(N=O)C(=C(C#N)C#N)C2[O][Na]):C(C(=O)O):S:1,495.9385565420258,28.565391673314345
6229,32,21,12,9,3,1905,10,7,13,5,CCN(CC)C1(C=CC(=O)CC(=O)C=CC2(OC):C:C(Cl):N:C:C:2NC(C)=O)SC(Br)NC1O,495.89177040570473,10.422839758912014
5697,29,11,19,3,1,368,2,15,16,17,CC1CN(C(=O)[O][Na])[SH](N)C1N=NC1:C:C:C(C(F)(F)F):C(CN(CC(=O)O)CC(=O)O):C:1=C(C#N)C#N,495.8837605963645,46.665604595516314
4478,23,19,10,14,16,1163,6,4,6,10,CCC1:B(C=CC=CC=CC2CC(C(=O)[O][Na])C(S(=O)(=O)[O][Na])C2C(=O)O):C:C:C(S(=O)(=O)[O][Na]):C:1[N+](=O)O,495.8672913529673,29.453233709746794
1962,10,18,10,11,2,5250,27,21,25,9,CCOC(=O)C1:C:C:C(C=CC(=O)N2NC(Br)C(=N)C2N(CC)CC):C(N):N:1S(=O)(=O)[O][Na],495.8253841177813,19.480609360743284
6897,35,4,16,24,7,997,5,5,19,15,CCC1C(CN(CC(=O)O)CC(=O)O)NC(C(C)C)C1C=NS1(Cl):C:C:C(C(=O)[O][Na]):C(=C(C#N)C#N):C:1,495.7935988873026,25.253345367853658
5693,29,18,5,24,16,9475,48,5,24,15,CCOC(=O)N1CC(Cl)C(C=CC=CC=C[SH]2CC(=C(C#N)C#N)[SH](C(C)C)C2Cl)(C(C)C)S1,495.77799923687337,30.633021949697053
6274,32,18,17,7,2,1756,9,24,10,8,CCOC(=O)C1NC(C(F)(F)F)C(C=CC(=O)C2(C(C)C):C:C(N=O):C:C(S(=O)(=O)[O][Na]):O:2)(OC)S1,495.7681367008293,19.514623986060286
2527,13,16,21,13,4,7500,38,19,23,24,CCN[SH]1CC(C(C)C)CC1(C=CC1:C:C(CN(CC(=O)O)CC(=O)O):C:S(Br):C:1NC(C)=O)C(=O)[O][Na],495.76185699915004,33.595171825643185
2459,13,18,14,18,8,2248,12,16,22,19,CCOC(=O)C1:C:C(=CC=C2:C:C(C(=O)[O][Na]):C:C(S(=O)(=O)O):N:2CN(CC(=O)O)CC(=O)O):C(C(=O)OCC):S(C(=O)O):C:1,495.7417318433474,29.254801977652914
